id,timestamp,source,proposals_found,new_proposals,errors
803,2026-06-21T11:30:04.836672+00:00,koios,128,0,[]
802,2026-06-21T09:00:01.932232+00:00,koios,128,0,[]
801,2026-06-21T05:00:01.499751+00:00,koios,128,0,[]
800,2026-06-21T01:00:01.491896+00:00,koios,128,0,[]
799,2026-06-20T21:00:01.197929+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
798,2026-06-20T17:00:01.815243+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
797,2026-06-20T13:00:01.449208+00:00,koios,128,0,[]
796,2026-06-20T11:30:04.209051+00:00,koios,128,0,[]
795,2026-06-20T09:00:01.795258+00:00,koios,128,0,[]
794,2026-06-20T05:00:02.080349+00:00,koios,128,0,[]
793,2026-06-20T01:00:01.683797+00:00,koios,128,0,[]
792,2026-06-19T21:00:01.427616+00:00,koios,128,0,[]
791,2026-06-19T17:00:01.604470+00:00,koios,128,0,[]
790,2026-06-19T15:54:29.407158+00:00,koios,128,0,[]
789,2026-06-19T13:00:01.836186+00:00,koios,128,0,[]
788,2026-06-19T11:30:04.631850+00:00,koios,128,0,[]
787,2026-06-19T09:00:01.580127+00:00,koios,128,0,[]
786,2026-06-19T05:00:01.537420+00:00,koios,128,0,[]
785,2026-06-19T01:00:01.473596+00:00,koios,128,0,[]
784,2026-06-18T21:00:02.024158+00:00,koios,128,1,[]
783,2026-06-18T20:14:57.948249+00:00,koios,127,0,[]
782,2026-06-18T18:04:38.565551+00:00,koios,127,0,[]
781,2026-06-18T17:00:01.613167+00:00,koios,127,0,[]
780,2026-06-18T13:00:01.401661+00:00,koios,127,0,[]
779,2026-06-18T11:30:05.648104+00:00,koios,127,0,[]
778,2026-06-18T09:00:01.364007+00:00,koios,127,0,[]
777,2026-06-18T05:00:01.905647+00:00,koios,127,0,[]
776,2026-06-18T01:00:01.289916+00:00,koios,127,0,[]
775,2026-06-17T23:45:24.325845+00:00,koios,127,0,[]
774,2026-06-17T21:00:01.876480+00:00,koios,127,0,[]
773,2026-06-17T17:00:01.882503+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
772,2026-06-17T13:00:01.416478+00:00,koios,127,0,[]
771,2026-06-17T11:30:04.402693+00:00,koios,127,0,[]
770,2026-06-17T09:00:01.620378+00:00,koios,127,0,[]
769,2026-06-17T05:00:01.560911+00:00,koios,127,0,[]
768,2026-06-17T01:00:02.087612+00:00,koios,127,0,[]
767,2026-06-16T21:00:01.545991+00:00,koios,127,0,[]
766,2026-06-16T17:00:02.086757+00:00,koios,127,1,[]
765,2026-06-16T13:00:01.637007+00:00,koios,126,0,[]
764,2026-06-16T11:30:04.531219+00:00,koios,126,1,[]
763,2026-06-16T09:00:01.594887+00:00,koios,125,0,[]
762,2026-06-16T05:00:02.106276+00:00,koios,125,0,[]
761,2026-06-16T01:00:01.735800+00:00,koios,125,0,[]
760,2026-06-16T00:57:18.891226+00:00,koios,125,0,[]
759,2026-06-15T21:00:01.611552+00:00,koios,125,0,[]
758,2026-06-15T17:00:01.147419+00:00,koios,125,0,[]
757,2026-06-15T15:21:58.675624+00:00,koios,125,0,[]
756,2026-06-15T13:00:02.078231+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
755,2026-06-15T09:00:01.449041+00:00,koios,125,0,[]
754,2026-06-15T05:00:01.481118+00:00,koios,125,0,[]
753,2026-06-15T01:00:01.378819+00:00,koios,125,0,[]
752,2026-06-14T21:00:01.214411+00:00,koios,125,0,[]
751,2026-06-14T17:00:01.287719+00:00,koios,125,0,[]
750,2026-06-14T13:00:01.307878+00:00,koios,125,0,[]
749,2026-06-14T09:00:01.686867+00:00,koios,125,0,[]
748,2026-06-14T05:00:01.758122+00:00,koios,125,0,[]
747,2026-06-14T01:00:01.150178+00:00,koios,125,0,[]
746,2026-06-13T21:00:01.257528+00:00,koios,125,0,[]
745,2026-06-13T17:00:01.897613+00:00,koios,125,0,[]
744,2026-06-13T13:00:01.670691+00:00,koios,125,0,[]
743,2026-06-13T09:00:01.172735+00:00,koios,125,0,[]
742,2026-06-13T05:00:01.246987+00:00,koios,125,0,[]
741,2026-06-13T01:00:01.846287+00:00,koios,125,0,[]
740,2026-06-12T21:00:01.362952+00:00,koios,125,0,[]
739,2026-06-12T17:00:01.896274+00:00,koios,125,0,[]
738,2026-06-12T13:00:01.356692+00:00,koios,125,0,[]
737,2026-06-12T09:00:01.549884+00:00,koios,125,0,[]
736,2026-06-12T05:00:01.256461+00:00,koios,125,0,[]
735,2026-06-12T01:00:01.480061+00:00,koios,125,0,[]
734,2026-06-11T21:00:01.296060+00:00,koios,125,0,[]
733,2026-06-11T17:00:01.789285+00:00,koios,125,0,[]
732,2026-06-11T13:00:01.240745+00:00,koios,125,0,[]
731,2026-06-11T09:00:01.652943+00:00,koios,125,0,[]
730,2026-06-11T05:00:01.918435+00:00,koios,125,0,[]
729,2026-06-11T01:00:01.207263+00:00,koios,125,0,[]
728,2026-06-10T21:00:01.372530+00:00,koios,125,0,[]
727,2026-06-10T17:00:01.621453+00:00,koios,125,0,[]
726,2026-06-10T13:00:02.036160+00:00,koios,125,0,[]
725,2026-06-10T09:00:01.692639+00:00,koios,125,0,[]
724,2026-06-10T05:00:01.789612+00:00,koios,125,0,[]
723,2026-06-10T01:00:01.629019+00:00,koios,125,0,[]
722,2026-06-09T21:00:01.393252+00:00,koios,125,0,[]
721,2026-06-09T17:00:01.167198+00:00,koios,125,2,[]
720,2026-06-09T13:00:01.555088+00:00,koios,123,0,[]
719,2026-06-09T09:00:01.874225+00:00,koios,123,0,[]
718,2026-06-09T05:00:01.292082+00:00,koios,123,0,[]
717,2026-06-09T01:00:01.987315+00:00,koios,123,0,[]
