action_id,stake_address,amount_lovelace
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#3,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,1193000000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#2,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,1310960000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#0,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,3961538000000
0f75dd11be0b7a6cb4b305a175b17cf4b60cd307c052fccabf9f572950e70583#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,10000000000000
4b7abfa70d98858750c50cd651d54c2955303b5410b34f40eb259f2fffc7c939#0,stake1uycp7wrphukdde6zhlqp2h06cdqxgzydkpku2qp8q8al3hg6tqgh7,20000000000000
35b44189eb4795d5775122da52a3a115753f83fd662dd1ff205ea633fc99b34e#0,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,4969231000000
d8de068952df50c862fa1bce9b8180d3387976cbae0fb2c3d9ef84f0faaf64d6#0,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,1785333000000
5439b6141625436ccf600f910bb0b3301b6288933a2cdf7939758848ae8b9997#0,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,9832979000000
3234567a3f48ace25efc150f1369192615974e232ea06e0251701831d9e4486d#0,stake17xzhu4tdpl4gdsupfmn3yjlngt2f3mjes3v6wwg9yd767ps8k5qvl,2464844000000
c0660dfd01b0a2d9ba7bac02014370096242ec756031b57d78080844fbbe9c05#0,stake1u9h9w7ssk3zne7mchccz8kugsncn2muhx2p2v26s9gysyqquxfv3z,3333000000000
dfd81f8db652fd9263e0ce3bef043b4823045ec3a5da10c817681ada7a23f034#0,stake179nmtusegux540zeqwpyapfjfvpxy75qxu4weq2emvcztqgtmwxw2,12332031000000
